Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
1.56 Crore,8 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
11.75 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
6.5 Crore,10 Marla,Islamabad,7 Beds,7 Baths,"Gulberg, Islamabad, Islamabad Capital",House,,,,,,
12.85 Crore,14 Marla,Islamabad,8 Beds,7 Baths,"G-11, Islamabad, Islamabad Capital",House,,,,,,
70 Crore,2 Kanal,Islamabad,5 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
33 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
14 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
14.9 Crore,14 Marla,Islamabad,7 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
1.5 Crore,4.7 Marla,Islamabad,2 Beds,2 Baths,"H-13, Islamabad, Islamabad Capital",Flat,,,,,,
13.6 Crore,1 Kanal,Islamabad,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
30 Crore,5 Kanal,Islamabad,6 Beds,6 Baths,"Gulberg, Islamabad, Islamabad Capital",Farm House,,,,,,
45 Crore,2.5 Kanal,Islamabad,7 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
3.65 Crore,7.7 Marla,Islamabad,2 Beds,2 Baths,"B-17, Islamabad, Islamabad Capital",Flat,,,,,,
8.75 Crore,10 Marla,Islamabad,5 Beds,5 Baths,"G-10, Islamabad, Islamabad Capital",House,,,,,,
1.6 Crore,5.1 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
46 Crore,3 Kanal,Islamabad,10 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
5.7 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
1.05 Crore,4 Marla,Islamabad,2 Beds,3 Baths,"Lehtrar Road, Islamabad, Islamabad Capital",House,,,,,,
80 Crore,4 Kanal,Islamabad,10 Beds,-,"F-7, Islamabad, Islamabad Capital",House,,,,,,
8.7 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
16.5 Crore,2 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
13.5 Crore,1 Kanal,Islamabad,6 Beds,-,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
2.85 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"FECHS, Islamabad, Islamabad Capital",House,,,,,,
79 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
6.7 Crore,12 Marla,Islamabad,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",House,,,,,,
6.35 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
22 Crore,1 Kanal,Islamabad,5 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
1.75 Arab,8 Kanal,Islamabad,8 Beds,6 Baths,"F-7, Islamabad, Islamabad Capital",House,,,,,,
10.5 Crore,1 Kanal,Islamabad,6 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
13.85 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
76 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
75 Lakh,3 Marla,Islamabad,3 Beds,3 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
3.55 Crore,7 Marla,Islamabad,4 Beds,5 Baths,"Soan Garden, Islamabad, Islamabad Capital",House,,,,,,
2.15 Crore,5.6 Marla,Islamabad,1 Bed,1 Bath,"F-11, Islamabad, Islamabad Capital",Flat,,,,,,
1.65 Crore,8 Marla,Islamabad,2 Beds,3 Baths,"E-18, Islamabad, Islamabad Capital",House,,,,,,
3.25 Crore,11 Marla,Islamabad,3 Beds,3 Baths,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
6.2 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
2.32 Crore,5 Marla,Islamabad,4 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
9 Crore,1 Kanal,Islamabad,5 Beds,7 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
8.4 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
9.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
7.35 Crore,10 Marla,Islamabad,5 Beds,5 Baths,"G-9, Islamabad, Islamabad Capital",House,,,,,,
9.8 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
10.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
